Position(mm),Force(kgf),Velocity(mm/s),Time(s)
33.171,0,100.078,0.274
33.271,0,100.072,0.275
33.271,0,100.072,0.275
33.371,0,100.056,0.276
33.371,0,100.056,0.276
33.471,0,100.044,0.277
33.471,0,100.044,0.277
33.571,0,100.033,0.278
33.571,0,100.033,0.278
33.671,0,100.022,0.279
33.671,0,100.022,0.279
33.771,0,100.011,0.28
33.771,0,100.011,0.28
33.871,0,100.006,0.28
33.871,0,100.006,0.28
33.971,0,100,0.281
33.971,0,100,0.281
34.071,0,99.989,0.282
34.071,0,99.989,0.282
34.171,0,99.989,0.283
34.171,0,99.989,0.283
34.27,0,99.983,0.284
34.27,0,99.983,0.284
34.37,0,99.978,0.285
34.37,0,99.978,0.285
34.47,0,99.972,0.286
34.47,0,99.972,0.286
34.57,0,99.961,0.287
34.57,0,99.961,0.287
34.57,0,99.961,0.288
34.57,0,99.961,0.288
34.67,0,99.95,0.289
34.67,0,99.95,0.289
34.77,0,99.939,0.29
34.77,0,99.939,0.29
34.87,0,99.933,0.29
34.87,0,99.933,0.29
34.97,0,99.928,0.291
34.97,0,99.928,0.291
35.069,0,99.928,0.292
35.069,0,99.928,0.292
35.169,0,99.928,0.293
35.169,0,99.928,0.293
35.269,0,99.928,0.294
35.269,0,99.928,0.294
35.369,0,99.928,0.296
35.369,0,99.928,0.296
35.469,0,99.928,0.297
35.469,0,99.928,0.297
35.569,0,99.928,0.298
35.569,0,99.928,0.298
35.669,0,99.928,0.299
35.669,0,99.928,0.299
35.769,0,99.939,0.3
35.769,0,99.939,0.3
35.869,0,99.944,0.3
35.869,0,99.944,0.3
35.969,0,99.961,0.301
35.969,0,99.961,0.301
36.069,0,99.967,0.302
36.069,0,99.967,0.302
36.169,0,99.978,0.303
36.169,0,99.978,0.303
36.169,0,99.978,0.304
36.169,0,99.978,0.304
36.269,0,99.983,0.305
36.269,0,99.983,0.305
36.37,0,99.994,0.306
36.37,0,99.994,0.306
36.47,0,100.006,0.307
36.47,0,100.006,0.307
36.57,0,100.011,0.308
36.57,0,100.011,0.308
36.67,0,100.022,0.309
36.67,0,100.022,0.309
36.77,0,100.028,0.31
36.77,0,100.028,0.31
36.87,0,100.028,0.31
36.87,0,100.028,0.31
36.97,0,100.039,0.31
36.97,0,100.039,0.31
37.07,0,100.039,0.31
37.07,0,100.039,0.31
37.17,0,100.044,0.31
37.17,0,100.044,0.31
37.27,0,100.05,0.31
37.27,0,100.05,0.31
37.37,0,100.05,0.31
37.37,0,100.05,0.31
37.471,0,100.056,0.31
37.471,0,100.056,0.31
37.571,0,100.061,0.31
37.571,0,100.061,0.31
37.671,0,100.056,0.31
37.671,0,100.056,0.31
37.671,0,100.056,0.32
37.671,0,100.056,0.32
37.771,0,100.061,0.32
37.771,0,100.061,0.32
